anno,titolo,regista,nazione
1946,L&#39;uomo del Sud,Jean Renoir,Stati Uniti
1947,Sirena,Karel Steklý,Cecoslovacchia
1948,Amleto,Laurence Olivier,Regno Unito
1949,Manon,Henri-Georges Clouzot,Francia
1950,Giustizia è fatta,André Cayatte,Francia
1951,Rashomon,Akira Kurosawa,Giappone
1952,Giochi proibiti,René Clément,Francia
1954,Giulietta e Romeo,Renato Castellani,Italia
1955,Ordet - La parola,Carl Theodor Dreyer,Danimarca
1957,Aparajito,Satyajit Ray,India
1958,L&#39;uomo del risciò,Hiroshi Inagaki,Giappone
1959,La grande guerra,Mario Monicelli,Italia
1960,Il passaggio del Reno,André Cayatte,Francia
1961,L&#39;anno scorso a Marienbad,Alain Resnais,Francia
1962,Cronaca familiare,Valerio Zurlini,Italia
1963,Le mani sulla città,Francesco Rosi,Italia
1964,Deserto rosso,Michelangelo Antonioni,Italia
1965,Vaghe stelle dell&#39;Orsa...,Luchino Visconti,Italia
1966,La battaglia di Algeri,Gillo Pontecorvo,Italia
1967,Bella di giorno,Luis Buñuel,Francia
1968,Artisti sotto la tenda del circo: perplessi,Alexander Kluge,Germania Ovest
1980,"Atlantic City, USA",Louis Malle,Stati Uniti
1981,Anni di piombo,Margarethe von Trotta,Germania Ovest
1982,Lo stato delle cose,Wim Wenders,Germania Ovest
1983,Prénom Carmen,Jean-Luc Godard,Francia
1984,L&#39;anno del sole quieto,Krzysztof Zanussi,Polonia
1985,Senza tetto né legge,Agnès Varda,Francia
1986,Il raggio verde,Éric Rohmer,Francia
1987,Arrivederci ragazzi,Louis Malle,Francia
1988,La leggenda del santo bevitore,Ermanno Olmi,Italia
1989,Città dolente,Hou Hsiao-hsien,Taiwan
1990,Rosencrantz e Guildenstern sono morti,Tom Stoppard,Regno Unito
1991,Urga - Territorio d&#39;amore,Nikita Mikhalkov,URSS
1992,La storia di Qiu Ju,Zhang Yimou,Cina
1993,America oggi,Robert Altman,Stati Uniti
1994,Vive L&#39;Amour,Tsai Ming-liang,Taiwan
1995,Cyclo,Tran Anh Hung,Vietnam
1996,Michael Collins,Neil Jordan,Regno Unito
1997,Hana-bi - Fiori di fuoco,Takeshi Kitano,Giappone
1998,Così ridevano,Gianni Amelio,Italia
1999,Non uno di meno,Zhang Yimou,Cina
2000,Il cerchio,Jafar Panahi,Iran
2001,Monsoon Wedding - Matrimonio indiano,Mira Nair,India
2002,Magdalene,Peter Mullan,Irlanda
2003,Il ritorno,Andrei Zviagintsev,Russia
2004,Il segreto di Vera Drake,Mike Leigh,Regno Unito
2005,I segreti di Brokeback Mountain,Ang Lee,Stati Uniti
2006,Still Life,Jia Zhangke,Cina
2007,Lussuria - Seduzione e tradimento,Ang Lee,Stati Uniti
2008,The Wrestler,Darren Aronofsky,Stati Uniti
2009,Lebanon,Samuel Maoz,Israele
2010,Somewhere,Sofia Coppola,Stati Uniti
2011,Faust,Aleksandr Sokurov,Russia
2012,Pietà,Kim Ki-duk,Corea del Sud
2013,Sacro GRA,Gianfranco Rosi,Italia
2014,Un piccione seduto su un ramo riflette sull&#39;esistenza,Roy Andersson,Svezia
2015,Ti guardo,Lorenzo Vigas,Venezuela
2016,The Woman Who Left - La donna che se ne è andata,Lav Diaz,Filippine
2017,La forma dell&#39;acqua - The Shape of Water,Guillermo del Toro,Stati Uniti
2018,Roma,Alfonso Cuarón,Messico
