"Anno","Film","Nazione","Regista"
"1946","L'uomo del Sud (The Southerner)","Stati Uniti","Jean Renoir"
"1947","Sirena (Siréna)","Cecoslovacchia","Karel Steklý"
"1948","Amleto (Hamlet)","Regno Unito","Laurence Olivier"
"1949","Manon","Francia","Henri-Georges Clouzot"
"1950","Giustizia è fatta (Justice est faite)","Francia","André Cayatte"
"1951","Rashomon (Rashômon)","Giappone","Akira Kurosawa"
"1952","Giochi proibiti (Jeux interdits)","Francia","René Clément"
"1954","Giulietta e Romeo","Italia","Renato Castellani"
"1955","Ordet - La parola (Ordet)","Danimarca","Carl Theodor Dreyer"
"1957","Aparajito","India","Satyajit Ray"
"1958","L'uomo del risciò (Muhomatsu No Issho)","Giappone","Hiroshi Inagaki"
"1959","La grande guerra","Italia","Mario Monicelli"
"1959","Il generale Della Rovere","Italia","Roberto Rossellini"
"1960","Il passaggio del Reno (Le passage du Rhin)","Francia","André Cayatte"
"1961","L'anno scorso a Marienbad (L'année dernière à Marienbad)","Francia","Alain Resnais"
"1962","Cronaca familiare","Italia","Valerio Zurlini"
"1962","L'infanzia di Ivan (Ivanovo Detsvo)","URSS","Andrej Tarkovskij"
"1963","Le mani sulla città","Italia","Francesco Rosi"
"1964","Deserto rosso","Italia","Michelangelo Antonioni"
"1965","Vaghe stelle dell'Orsa...","Italia","Luchino Visconti"
"1966","La battaglia di Algeri","Italia/ Algeria","Gillo Pontecorvo"
"1967","Bella di giorno (Belle de jour)","Francia","Luis Buñuel"
"1968","Artisti sotto la tenda del circo: perplessi (Die Artisten in der Zirkuskuppel: ratlos)","Germania Ovest","Alexander Kluge"
"1980","Atlantic City, USA","Stati Uniti","Louis Malle"
"1980","Una notte d'estate - Gloria (Gloria)","Stati Uniti","John Cassavetes"
"1981","Anni di piombo (Die bleierne Zeit)","Germania Ovest","Margarethe von Trotta"
"1982","Lo stato delle cose (Der Stand der Dinge)","Germania Ovest","Wim Wenders"
"1983","Prénom Carmen (Prénom Carmen)","Francia","Jean-Luc Godard"
"1984","L'anno del sole quieto (Rok spokojnego słońca)","Polonia","Krzysztof Zanussi"
"1985","Senza tetto né legge (Sans toit ni loi)","Francia","Agnès Varda"
"1986","Il raggio verde (Le rayon vert)","Francia","Éric Rohmer"
"1987","Arrivederci ragazzi (Au revoir les enfants)","Francia","Louis Malle"
"1988","La leggenda del santo bevitore","Italia","Ermanno Olmi"
"1989","Città dolente (Beiqing chengshi)","Taiwan","Hou Hsiao-hsien"
"1990","Rosencrantz e Guildenstern sono morti (Rosenkrantz And Guildenstern Are Dead)","Regno Unito","Tom Stoppard"
"1991","Urga - Territorio d'amore (Urga)","URSS","Nikita Mikhalkov"
"1992","La storia di Qiu Ju (Qui Ju da guansi)","Cina","Zhang Yimou"
"1993","America oggi (Short Cuts)","Stati Uniti","Robert Altman"
"1993","Tre colori - Film blu (Trois couleurs: Bleu)","Francia/ Polonia","Krzysztof Kieślowski"
"1994","Vive L'Amour (Aiqing Wansui)","Taiwan","Tsai Ming-liang"
"1994","Prima della pioggia (Pred doždot)","Macedonia","Milčo Mančevski"
"1995","Cyclo (Xich-lo)","Vietnam","Tran Anh Hung"
"1996","Michael Collins","Regno Unito","Neil Jordan"
"1997","Hana-bi - Fiori di fuoco (Hana-bi)","Giappone","Takeshi Kitano"
"1998","Così ridevano","Italia","Gianni Amelio"
"1999","Non uno di meno (Yi ge dou bu neng shao)","Cina","Zhang Yimou"
"2000","Il cerchio (Dayereh)","Iran","Jafar Panahi"
"2001","Monsoon Wedding - Matrimonio indiano (Monsoon Wedding)","India","Mira Nair"
"2002","Magdalene (The Magdalene Sisters)","Irlanda","Peter Mullan"
"2003","Il ritorno (Vozvrašcenje)","Russia","Andrei Zviagintsev"
"2004","Il segreto di Vera Drake (Vera Drake)","Regno Unito","Mike Leigh"
"2005","I segreti di Brokeback Mountain (Brokeback Mountain)","Stati Uniti","Ang Lee"
"2006","Still Life (Sanxia haoren)","Cina","Jia Zhangke"
"2007","Lussuria - Seduzione e tradimento (Se, jie)","Stati Uniti/ Cina/ Taiwan","Ang Lee"
"2008","The Wrestler","Stati Uniti","Darren Aronofsky"
"2009","Lebanon","Israele","Samuel Maoz"
"2010","Somewhere","Stati Uniti","Sofia Coppola"
"2011","Faust","Russia","Aleksandr Sokurov"
"2012","Pietà (Pieta)","Corea del Sud","Kim Ki-duk"
"2013","Sacro GRA","Italia","Gianfranco Rosi"
"2014","Un piccione seduto su un ramo riflette sull'esistenza (En duva satt på en gren och funderade på tillvaron)","Svezia","Roy Andersson"
"2015","Ti guardo (Desde allá)","Venezuela","Lorenzo Vigas"
"2016","The Woman Who Left - La donna che se ne è andata (Ang babaeng humayo)","Filippine","Lav Diaz"
"2017","La forma dell'acqua - The Shape of Water (The Shape of Water)","Stati Uniti","Guillermo del Toro"
"2018","Roma","Messico","Alfonso Cuarón"
